"Indiana, 2008",,,,
,,,,
All Births,Total,,,
Total Births - All races,"88,679",,,
Total Teen Births (10 to 19) - all races,"9,715",,,
Mom 10 to 14 - All races,113,,,
Mom 15 to 17 - All races,"2,728",,,
Mom 18 to 19 - All races,"6,874",,,
Mom 20 to 24 - All races,"25,045",,,
Mom 25 to 29 - All races,"26,928",,,
Mom 30 to 34 - All races,"17,814",,,
Mom 35 to 39 - All races,"7,626",,,
Mom 40 to 44 - All races,"1,463",,,
Mom 45 + - All races,84,,,
Mom age unknown - All races,4,,,
Total Births - White,"74,280",,,
Total Teen Births (10 to 19) - White,"7,439",,,
Mom 10 to 14 - White,67,,,
Mom 15 to 17 - White,"2,020",,,
Mom 18 to 19 - White,"5,352",,,
Mom 20 to 24 - White,"20,580",,,
Mom 25 to 29 - White,"23,134",,,
Mom 30 to 34 - White,"15,385",,,
Mom 35 to 39 - White,"6,433",,,
Mom 40 to 44 - White,"1,232",,,
Mom 45 + - White,74,,,
Mom age unknown - White,3,,,
Total Births - Black,"10,496",,,
Total Teen Births (10 to 19) - Black,"1,964",,,
Mom 10 to 14 - Black,41,,,
Mom 15 to 17 - Black,600,,,
Mom 18 to 19 - Black,"1,323",,,
Mom 20 to 24 - Black,"3,665",,,
Mom 25 to 29 - Black,"2,619",,,
Mom 30 to 34 - Black,"1,432",,,
Mom 35 to 39 - Black,675,,,
Mom 40 to 44 - Black,133,,,
Mom 45 + - Black,7,,,
Mom age unknown - Black,1,,,
Total Births - Other,"3,903",,,
Total Teen Births (10 to 19) - Other,312,,,
Mom 10 to 14 - Other,5,,,
Mom 15 to 17 - Other,108,,,
Mom 18 to 19 - Other,199,,,
Mom 20 to 24 - Other,800,,,
Mom 25 to 29 - Other,"1,175",,,
Mom 30 to 34 - Other,997,,,
Mom 35 to 39 - Other,518,,,
Mom 40 to 44 - Other,98,,,
Mom 45 + - Other,3,,,
Mom age unknown - Other,0,,,
,,,,
"Source: STATS Indiana, using data from the Indiana State Department of Health",,,,
Produced on 5/12/2014 10:28:29 AM.,,,,
,,,,
Home,,,,
About STATS,,,,
Sitemap,,,,
Report a problem with this page,,,,
Privacy Notice,,,,
,,,,
Connect: ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"STATS Indiana is the statistical data utility for the State of Indiana, developed and maintained since 1985 by the Indiana Business Research Center at Indiana University's Kelley School of Business. Support is or has been provided by the State of Indiana and the Lilly Endowment, the Indiana Department of Workforce Development and Indiana University.",,,,
,,,,
"var _gaq = _gaq || []; _gaq.push(['_setAccount', 'UA-438745-1']); _gaq.push(['_trackPageview']); (function() { var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true; ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js'; var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s); })();",,,,
