"Indiana, 2010",,,
,,,
All Births,Total,,
Total Births - All races,"83,867",,
Total Teen Births (10 to 19) - all races,"8,750",,
Mom 10 to 14 - All races,91,,
Mom 15 to 17 - All races,"2,481",,
Mom 18 to 19 - All races,"6,178",,
Mom 20 to 24 - All races,"22,493",,
Mom 25 to 29 - All races,"25,527",,
Mom 30 to 34 - All races,"18,274",,
Mom 35 to 39 - All races,"7,258",,
Mom 40 to 44 - All races,"1,459",,
Mom 45 + - All races,100,,
Mom age unknown - All races,6,,
Total live births (multi-year aggregate),"437,795 p",,
Total Births - White,"69,858",,
Total Teen Births (10 to 19) - White,"6,711",,
Mom 10 to 14 - White,55,,
Mom 15 to 17 - White,"1,835",,
Mom 18 to 19 - White,"4,821",,
Mom 20 to 24 - White,"18,178",,
Mom 25 to 29 - White,"21,881",,
Mom 30 to 34 - White,"15,768",,
Mom 35 to 39 - White,"6,041",,
Mom 40 to 44 - White,"1,194",,
Mom 45 + - White,81,,
Mom age unknown - White,4,,
Total Births - Black,"10,052",,
Total Teen Births (10 to 19) - Black,"1,715",,
Mom 10 to 14 - Black,33,,
Mom 15 to 17 - Black,528,,
Mom 18 to 19 - Black,"1,154",,
Mom 20 to 24 - Black,"3,570",,
Mom 25 to 29 - Black,"2,492",,
Mom 30 to 34 - Black,"1,448",,
Mom 35 to 39 - Black,675,,
Mom 40 to 44 - Black,139,,
Mom 45 + - Black,12,,
Mom age unknown - Black,1,,
Total Births - Other,"3,957",,
Total Teen Births (10 to 19) - Other,324 (2),,
Mom 10 to 14 - Other,3,,
Mom 15 to 17 - Other,118,,
Mom 18 to 19 - Other,203,,
Mom 20 to 24 - Other,745,,
Mom 25 to 29 - Other,"1,154",,
Mom 30 to 34 - Other,"1,058",,
Mom 35 to 39 - Other,542,,
Mom 40 to 44 - Other,126,,
Mom 45 + - Other,7,,
Mom age unknown - Other,1,,
Total Births - Prenatal Care began during First Trimester,"58,996 p",,
Mothers who ever breastfed their babies,"60,477",,
p - Preliminary/Provisional Data,,,
,,,
(2) Figures for marriages are marriage licenses issued,,,
,,,
"Source: STATS Indiana, using data from the Indiana State Department of Health",,,
Produced on 5/12/2014 10:25:58 AM.,,,
,,,
Home,,,
About STATS,,,
Sitemap,,,
Report a problem with this page,,,
Privacy Notice,,,
,,,
Connect: ,,,
,,,
,,,
,,,
,,,
,,,
"STATS Indiana is the statistical data utility for the State of Indiana, developed and maintained since 1985 by the Indiana Business Research Center at Indiana University's Kelley School of Business. Support is or has been provided by the State of Indiana and the Lilly Endowment, the Indiana Department of Workforce Development and Indiana University.",,,
,,,
"var _gaq = _gaq || []; _gaq.push(['_setAccount', 'UA-438745-1']); _gaq.push(['_trackPageview']); (function() { var ga = document.createElement('script'); ga.type = 'text/javascript'; ga.async = true; ga.src = ('https:' == document.location.protocol ? 'https://ssl' : 'http://www') + '.google-analytics.com/ga.js'; var s = document.getElementsByTagName('script')[0]; s.parentNode.insertBefore(ga, s); })();",,,
